strain	virus	date	region	country	division	location	pangolin_lineage	GISAID_clade
hCoV-19/Colombia/VAC-UV-29629/2021	ncov	2021-12-06	South America	Colombia	Valle Del Cauca	Cali	AY.14	GK
hCoV-19/Colombia/VAC-UV-29474/2021	ncov	2021-11-29	South America	Colombia	Valle Del Cauca	Cali	AY.103	GK
hCoV-19/Colombia/VAC-UV-29372/2021	ncov	2021-11-22	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-CSB-16470157/2021	ncov	2021-11-13	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-27638473/2021	ncov	2021-11-09	South America	Colombia	Valle Del Cauca	Cali	AY.5	GK
hCoV-19/Colombia/VAC-UV-29603/2021	ncov	2021-12-03	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29637/2021	ncov	2021-12-06	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29651/2021	ncov	2021-12-06	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-UV-29472/2021	ncov	2021-11-29	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-29599/2021	ncov	2021-12-02	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-UV-29600/2021	ncov	2021-12-02	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-UV-29424/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Cali	AY.122.4	GK
hCoV-19/Colombia/VAC-UV-29377/2021	ncov	2021-11-22	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-UV-29327/2021	ncov	2021-11-19	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-29266/2021	ncov	2021-11-16	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29274/2021	ncov	2021-11-17	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29262/2021	ncov	2021-11-16	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-SAD-94257737/2021	ncov	2021-10-26	South America	Colombia	Valle Del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-SAD-94298080/2021	ncov	2021-10-27	South America	Colombia	Valle Del Cauca	Candelaria	B.1.617.2	GK
hCoV-19/Colombia/VAC-SAD-1144064055/2021	ncov	2021-10-23	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-SAD-39841752/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-SAD-1087047691/2021	ncov	2021-07-24	South America	Colombia	Valle Del Cauca	Candelaria	B.1	G
hCoV-19/Colombia/VAC-CSB-31886834/2021	ncov	2021-10-23	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-CSB-31533020/2021	ncov	2021-11-10	South America	Colombia	Valle Del Cauca	Cali	AY.24	GK
hCoV-19/Colombia/VAC-CSB-1116275962/2021	ncov	2021-11-07	South America	Colombia	Valle Del Cauca	Tulua	AY.122	GK
hCoV-19/Colombia/VAC-CSB-72195923/2021	ncov	2021-11-27	South America	Colombia	Valle Del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-CSB-29279367/2021	ncov	2021-11-28	South America	Colombia	Valle Del Cauca	Cali	AY.42	GK
hCoV-19/Colombia/VAC-CSN-1113637077/2021	ncov	2021-12-01	South America	Colombia	Valle Del Cauca	Palmira	AY.43	GK
hCoV-19/Colombia/VAC-CSN-24382008/2021	ncov	2021-11-30	South America	Colombia	Valle Del Cauca	Cali	AY.122.4	GK
hCoV-19/Colombia/VAC-CSN-1110292437/2021	ncov	2021-11-29	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-CSN-25093884/2021	ncov	2021-11-29	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSN-22807136/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSN-12951365/2021	ncov	2021-11-30	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-IDIME-31248570/2021	ncov	2021-11-26	South America	Colombia	Valle Del Cauca	Cali	AY.9.2	GK
hCoV-19/Colombia/VAC-IDIME-16686148/2021	ncov	2021-11-27	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSN-31270844/2021	ncov	2021-11-26	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-IDIME-1075209343/2021	ncov	2021-11-26	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-IDIME-16917291/2021	ncov	2021-11-26	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-IDIME-14978172/2021	ncov	2021-11-27	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-IDIME-1112098363/2021	ncov	2021-11-11	South America	Colombia	Valle Del Cauca	Bugalagrande	AY.25.1	GK
hCoV-19/Colombia/VAC-IDIME-1143990377/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Cali	AY.9.2	GK
hCoV-19/Colombia/VAC-IDIME-2772157/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Yumbo	AY.20	GK
hCoV-19/Colombia/VAC-IDIME-31473517/2021	ncov	2021-11-28	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/UN-FVL-16759941/2021	ncov	2021-11-25	South America	Colombia			B.1.617.2	GK
hCoV-19/Colombia/VAC-IDIME-1112159107/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Buga	AY.122.4	GK
hCoV-19/Colombia/VAC-IDIME-31922656/2021	ncov	2021-11-24	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/UN-FVL-1144104448/2021	ncov	2021-11-27	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-1057330499/2021	ncov	2021-11-29	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-66955926/2021	ncov	2021-11-27	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-34548580/2021	ncov	2021-11-10	South America	Colombia			AY.9.2	GK
hCoV-19/Colombia/UN-FVL-1006181327/2021	ncov	2021-11-24	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-29938014/2021	ncov	2021-11-21	South America	Colombia			AY.9.2	GK
hCoV-19/Colombia/UN-FVL-11371239/2021	ncov	2021-11-24	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-1006170958/2021	ncov	2021-11-29	South America	Colombia			AY.43	GK
hCoV-19/Colombia/UN-FVL-29108933/2021	ncov	2021-11-23	South America	Colombia			B.1.617.2	GK
hCoV-19/Colombia/NAR-CI-11310842/2021	ncov	2021-09-24	South America	Colombia	Narino	Pasto	AY.20	GK
hCoV-19/Colombia/VAC-CI-1112491637/2021	ncov	2021-10-13	South America	Colombia	Valle Del Cauca	Jamundi	B.1.621	GH
hCoV-19/Colombia/VAC-CI-31641824/2021	ncov	2021-10-21	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CI-31475520/2021	ncov	2021-10-23	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CI-1151935347/2021	ncov	2021-10-27	South America	Colombia	Valle Del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-LADS-1092462618/2021	ncov	2021-11-15	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/QUI-LADS-19248821/2021	ncov	2021-11-15	South America	Colombia	Quindio	Armenia	AY.101	GK
hCoV-19/Colombia/VAC-CI-31133996/2021	ncov	2021-10-12	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-LADS-32417248/2021	ncov	2021-11-14	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-29677/2021	ncov	2021-12-09	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/DC-SAD-134240387/2021	ncov	2021-08-01	South America	Colombia	Bogota		AY.3	GK
hCoV-19/Colombia/VAC-COV_24846/2021	ncov	2021-05-24	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/VAC-COV_24796/2021	ncov	2021-05-20	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/VAC-COV_24539/2021	ncov	2021-05-06	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-COV_25776/2021	ncov	2021-06-28	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
